,gold_sents,oreo_pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","On January 26, 2014, a group of Montgomery residents filed this lawsuit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery.[SENTMARKER]The plaintiffs alleged that the city's practice of jailing people for nonpayment of traffic tickets violated their constitutional rights to due process and due process.[SENTMARKER]On May 1, 2014, the court granted the plaintiffs' motion for injunctive relief based on the City's failure to conduct any inquiry into their ability to pay prior to jailing them for non-payment.[SENTMARKER]The parties reached a settlement agreement in which the City agreed to pay the plaintiffs the full amount owed for traffic tickets issued in 2010.[SENTMARKER]The parties also agreed that the City would hold Municipal Court every business day.[SENTMARKER]The case was closed on January 27, 2014."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On November 17, 2014, the U.S. District Court for the Middle District of Alabama ruled in favor of the City of Montgomery and the Judges of the Montgomery Municipal Court in a lawsuit brought by a woman who was unable to pay fines and fees on multiple traffic tickets.[SENTMARKER]The plaintiff sought declaratory and injunctive relief, and the parties agreed to implement procedures that would comply with the constitutional principles set out in Bearden v. Georgia and Turner v. Rogers, 131 S Ct. 2507 (2011) regarding incarceration for non-payment."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","On June 25, 1990, two death row inmates in Arkansas filed a lawsuit in the U.S. District Court for the Eastern District of Arkansas challenging the state's three-chemical lethal injection protocol.[SENTMARKER]The plaintiffs alleged that the protocol creates a significant risk of inflicting severe pain in the administration of the death sentence, and that the State's use of this protocol demonstrates deliberate indifference to the plaintiffs' serious medical needs.[SENTMARKER]In particular, Arkansas’ protocol is substantially identical to the protocol used by the State of Missouri.[SENTMARKER]2096 (2006), courts across the country have heard and rejected challenges to the three drug protocol widely used by states.[SENTMARKER]The court found that the plaintiffs failed to come forward with evidence that Arkansas' protocol for execution by lethal injection subjects them to a constitutionally significant pain."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","On August 23, 2018, 17 Arizona residents filed this class action lawsuit in the U.S. District Court for the District of Arizona against Treatment Assessment Screening Center, Inc. (TASC) and its employees.[SENTMARKER]The plaintiffs alleged that TASC violated the Fourteenth Amendment, the Fourth, and the Ninth Amendments by discriminating against them on the basis of their wealth.[SENTMARKER]The defendants denied sub nom.[SENTMARKER]1 inequalities of state action.[SENTMARKER]The district court denied the defendants' motion to dismiss.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.",This case was brought in the U.S. District Court for the Northern District of California by the San Francisco Bay Area News Group (S.F.G.)[SENTMARKER]against the California Department of Corrections and Rehabilitation (D.C.) and the California State Prison at San Quentin.[SENTMARKER]The plaintiffs alleged that the D.D.R.[SENTMARKER]and the state had violated the First Amendment rights of the press and the public by failing to provide adequate information about the use of lethal injection as a method of execution.[SENTMARKER]The case was dismissed by the Court of Appeals for the 9th Circuit.
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","The class consists of California state prisoners who are serving life 27 sentences and are eligible for parole consideration after having served their minimum terms.<n>The court held a telephonic status conference on the motion 12 for preliminary approval.[SENTMARKER]165, 166, which the court has now considered.[SENTMARKER]A central issue is the reliability of the three risk assessment tools 24 referred to in the settlement agreement when used to evaluate the suitability of life inmates for 25 parole."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","On October 10, 2018, the City and County of Denver, Colorado, filed this lawsuit in the United States District Court for the District of Colorado.[SENTMARKER]The plaintiff, Mickey Howard, was a resident of Colorado and a defendant in the case.[SENTMARKER]The defendant, Denver, charged him a $50 bond fee for his pretrial pretrial monetary bond, which he was not able to pay, and required him to pay the bond fee in order to be released.[SENTMARKER]The court granted the defendant's motion for summary judgment, and the parties entered a settlement agreement.[SENTMARKER]The settlement agreement was entered into on December 21, 2018."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","The District of Columbia, the Chief of Police of the Metropolitan Police Department (MPD), and the Mayor of D.C. filed this lawsuit in the U.S. District Court for the Eastern District of Washington.[SENTMARKER]The plaintiffs alleged that MPD's policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings violated their constitutional rights.[SENTMARKER]The Supreme Court found that neither delay violated the property owners’ constitutional rights, and the case was dismissed."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","This lawsuit was brought in the U.S. District Court for the Northern District of Georgia against the City of Doraville and the City's policy and practice of using its law enforcement and municipal court system for revenue generation.[SENTMARKER]Specifically, the plaintiffs claim that the City violated their constitutional rights by implementing a custom or policy that caused them to be deprived of due process.[SENTMARKER]The case is now before the Court on Doraville's Motion to Dismiss [15] ordinances in a municipal court."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a group of Idaho death row inmates filed this lawsuit in the U.S. District Court for the District of Idaho against the Idaho Department of Correction (IDOC) seeking a preliminary injunction regarding the procedures used for the execution of Mr. Richard Leavitt.[SENTMARKER]The plaintiffs alleged that the IDOC's procedures prevent the public and media witnesses from viewing or observing the entire execution process, including, but not limited to, the time the inmate is declared dead.[SENTMARKER]The court granted the plaintiffs' motion for a permanent injunction and granted their motion for preliminary injunction.[SENTMARKER]The parties agreed to modify their procedures to allow the witnesses to the execution to observe all aspects of the execution from the moment the inmate enters the execution chamber through, to and including, the death of the inmate.[SENTMARKER]The case is ongoing."
